0	C	M1	0	10	500
250	C	M2	1	9	700
500	C	M3	2	8	900
750	C	M4	3	7	1100
1000	C	M5	4	6	1300
1250	C	M6	5	5	1500
1500	C	M7	6	4	1700
1750	C	M8	7	3	1900
2000	C	M9	8	2	2100
2250	C	M10	9	1	2300
2500	C	M11	10	0	2500
2750	C	M12	0	10	2700
3000	C	M13	1	9	2900
3250	C	M14	2	8	3100
3500	C	M15	3	7	3300
3750	C	M16	4	6	3500
4000	C	M17	5	5	3700
4250	C	M18	6	4	3900
4500	C	M19	7	3	4100
4750	C	M20	8	2	4300
5000	C	M21	9	1	4500
5250	C	M22	10	0	4700
5500	C	M23	0	10	4900
5750	C	M24	1	9	5100
6000	C	M25	2	8	5300
6250	C	M26	3	7	5500
6500	C	M27	4	6	5700
6750	C	M28	5	5	5900
7000	C	M29	6	4	6100
7250	C	M30	7	3	6300
7500	C	M31	8	2	6500
7750	C	M32	9	1	6700
8000	C	M33	10	0	6900
8250	C	M34	0	10	7100
8500	C	M35	1	9	7300
8750	C	M36	2	8	7500
9000	C	M37	3	7	7700
9250	C	M38	4	6	7900
9500	C	M39	5	5	8100
9750	C	M40	6	4	8300
10000	C	M41	7	3	8500
